눈썹_길이,눈썹_굵기,눈썹_기울기,눈_세로길이,눈_가로길이,비율,눈_눈꼬리기울기,얼굴비율,코_길이,코_폭,콧볼_폭,입_크기,입_윗입술(두께),입_아랫입술(두께),입_입꼬리,턱기울기1,턱기울기2,턱아래면적,target
56.0,7.5,0.1458333333333333,29.5,37.5,0.7866666666666666,0.0028694404591104,0.8413461538461539,73,36,48,1036.2,6.33,10.33,0.17,2.08172457676224,0.611085538616647,0.468113487207984,3
70.5,8.833333333333332,0.0240963855421686,28.0,44.5,0.6292134831460674,-0.0050658561296859,0.9056603773584906,83,46,66,1796.08,8.67,13.0,0.16,2.31467260270018,0.472053565851944,0.623460591686048,1
64.5,7.666666666666667,0.0422535211267605,26.5,40.0,0.6625,-0.0025015634771732,0.8780487804878049,74,42,60,1889.5,9.0,12.67,0.08,2.26732360326256,0.365118623363396,0.51145878843558,6
57.5,7.0,0.02,26.5,36.0,0.7361111111111112,0.0069930069930069,0.8198198198198198,65,37,47,1338.42,10.0,13.0,-0.03,2.74992515708603,0.425281500360619,0.421503525929565,3
75.5,9.666666666666666,0.119047619047619,42.5,50.5,0.8415841584158416,-0.0149136577708006,0.8464163822525598,96,49,65,2294.56,11.67,17.0,0.14,2.26505237605685,0.565734690228022,0.828011138570393,2
67.5,8.333333333333334,0.1095890410958904,31.666666666666664,42.5,0.7450980392156862,0.0099667774086378,0.899581589958159,76,43,59,1393.38,9.0,13.0,0.06,2.11682418177271,0.444410934239244,0.520349927919312,7
73.0,8.833333333333332,0.1038961038961039,37.16666666666666,47.0,0.7907801418439716,0.0,0.8884758364312267,85,48,65,1946.8,9.67,13.67,0.08,2.24444125886175,0.482194628540105,0.699641640910642,6
70.0,9.333333333333334,0.1341463414634146,36.0,45.0,0.8,-0.0223214285714285,0.884,83,44,61,1604.54,8.33,13.67,0.16,1.98138691589252,0.634653615451909,0.644297890502687,7
77.5,10.5,0.108433734939759,37.5,50.0,0.75,-0.0126050420168067,0.8576388888888888,97,50,70,1959.36,7.33,13.67,0.27,2.08890375049238,0.618847050734336,0.847657221644909,6
62.0,8.166666666666668,0.109375,30.333333333333336,39.5,0.7679324894514769,0.0019230769230769,0.8863636363636364,69,40,52,1275.62,8.0,12.0,0.12,2.05673497748573,0.569274364306445,0.482698815004611,3
